model,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_macro_f1,val_high_risk_recall,training_time
Informer,50,0.07065710698992111,0.12846260067527487,0.9706029731084015,0.9570869620093398,0.8071257067686947,0.4472934472934473,115.57340836524963
PatchTST,10,0.14409804525702444,0.07682511546932967,0.9301820611324536,0.960747191720308,0.8152132552095291,0.43874643874643876,71.70440006256104
PatchTST,20,0.13169584317015073,0.09451144689963649,0.9364456322031067,0.9583491101855358,0.8103222118077019,0.4415954415954416,140.8592505455017
PatchTST,30,0.1153534539099904,0.11683860435902765,0.9451867936083737,0.9565821027388616,0.8006781269534039,0.41595441595441596,207.51011514663696
PatchTST,40,0.09533799455888115,0.13327065320929607,0.9572406881576749,0.9594850435441121,0.8201735516865297,0.48148148148148145,272.96687936782837
PatchTST,50,0.07305512288544341,0.14022294394631427,0.9697399922053338,0.9575918212798182,0.8008081193717542,0.4074074074074074,339.65357089042664
TFT,10,0.14243150849647587,0.07642895155774795,0.9289850231056177,0.9618831250788843,0.7972888647278961,0.33618233618233617,26.693392992019653
TFT,20,0.12619051174798646,0.08802509079222673,0.9368353655141696,0.9574656064621987,0.8175751329791666,0.4843304843304843,53.09147787094116
TFT,30,0.0872612512086028,0.1814778659005947,0.9596904403986415,0.953679161933611,0.8036439913183994,0.46153846153846156,79.77304100990295
TFT,40,0.053211397717316776,0.25421505263024985,0.9781192583931853,0.9535529471159914,0.794714548400262,0.41025641025641024,106.06393337249756
TFT,50,0.028269952790307962,0.3813312225533832,0.9883636768554089,0.9549413101098069,0.807310001972987,0.46153846153846156,132.56393241882324
TimesNet,10,0.12457161499741654,0.08782711206679314,0.9394521463170202,0.9592326139088729,0.8108908368242943,0.4301994301994302,50.0879864692688
TimesNet,20,0.07185636111544207,0.14840534046197087,0.9680697065864929,0.9553199545626656,0.80274888282687,0.45014245014245013,99.6033067703247
TimesNet,30,0.046173682878363556,0.2000748704904922,0.9791771059517844,0.9562034582860027,0.788354304754911,0.35327635327635326,148.8858642578125
TimesNet,40,0.0365788934974896,0.23669209328988192,0.9848839151494906,0.9551937397450461,0.7805199827700697,0.33618233618233617,198.13219952583313
TimesNet,50,0.028836972708867967,0.2781691493179451,0.9883636768554089,0.9568345323741008,0.7812585214704223,0.3247863247863248,247.81674766540527
